Model,Language,Accuracy,Precision,Recall,F1
XLM-R-Multilingual,Arabic,0.843263061411549,0.8253692441355344,0.8707607699358387,0.847457627118644
XLM-R-Multilingual,English,0.846012832263978,0.8291194420226679,0.8716773602199817,0.8498659517426274
XLM-R-Arabic,Arabic,0.7098991750687442,0.6892561983471074,0.7644362969752521,0.7249022164276402
XLM-R-Arabic,English,0.6755270394133822,0.6308954203691046,0.846012832263978,0.7227877838684417
XLM-R-English,Arabic,0.6544454628780935,0.6143923964697895,0.8295142071494043,0.7059282371294852
XLM-R-English,English,0.7176901924839597,0.6961189099917423,0.772685609532539,0.7324066029539531
