model,language,sample_size,distribution,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper
Llama3-8B-Arabic,arabic,500,0.4,0.73296,0.0169775852228755,0.7305867323402054,0.7353332676597945,0.6355399402097229,0.018770991901089076,0.6329159752914909,0.638163905127955,0.7804999999999999,0.02548528987474932,0.7769374548284559,0.7840625451715438,0.7004220058512591,0.0186026008747119,0.697821580027183,0.7030224316753353
Llama3-8B-Arabic,arabic,500,0.45,0.73342,0.017629055561770756,0.7309556644135057,0.7358843355864942,0.6790547131523132,0.0200394205949876,0.6762534367520026,0.6818559895526239,0.7741777777777779,0.0218610200478126,0.7711218630991881,0.7772336924563676,0.7233037115621618,0.017134597188591155,0.7209084954676787,0.7256989276566449
Llama3-8B-Arabic,arabic,500,0.5,0.7396199999999999,0.016586006149763736,0.7373014705104616,0.7419385294895383,0.7233273815561044,0.01738455715022484,0.7208972239852334,0.7257575391269755,0.77676,0.024489638625345214,0.7733366352171641,0.7801833647828359,0.7488712666677256,0.016506665503260912,0.7465638280717378,0.7511787052637134
Llama3-8B-Arabic,arabic,500,0.55,0.74323,0.01730049421259406,0.740811593443696,0.7456484065563039,0.7602264450571949,0.01730575727494132,0.7578073027863887,0.7626455873280011,0.7792363636363636,0.022231211772179765,0.7761287004884933,0.782344026784234,0.7694356217697412,0.015983811471183173,0.7672012720464543,0.7716699714930282
Llama3-8B-Arabic,arabic,500,0.6000000000000001,0.7475200000000001,0.01623359479597789,0.7452507334920875,0.7497892665079127,0.7968125556242527,0.015219580100716454,0.7946850364998006,0.7989400747487048,0.7777666666666667,0.021000291003274742,0.7748310718320613,0.7807022615012721,0.7870077581201703,0.014466761759651886,0.7849854741866534,0.7890300420536872
Llama3-8B-Arabic,arabic,500,0.6500000000000001,0.75044,0.01786187000288605,0.7479431196801659,0.7529368803198341,0.8275677946356137,0.016461564938806374,0.8252666605705502,0.8298689287006772,0.7785230769230771,0.020207116913713765,0.7756983585406073,0.7813477953055469,0.8021349458249085,0.014711844513140266,0.8000784021916056,0.8041914894582114
Llama3-8B-Arabic,arabic,500,0.7000000000000001,0.7565700000000001,0.017421110756780135,0.7541347326628609,0.7590052673371392,0.8598320192526863,0.014414407671588558,0.8578170538077782,0.8618469846975944,0.7794857142857142,0.020103324935676382,0.776675504806695,0.7822959237647334,0.8175335340659424,0.013961091386955567,0.8155819369307118,0.8194851312011731
Llama3-8B-Arabic,arabic,500,0.7500000000000001,0.7588900000000001,0.01585017034608778,0.7566743317414824,0.7611056682585178,0.8874588683635306,0.012475715723616216,0.8857149093569368,0.8892028273701245,0.7772,0.017103605857635203,0.7748091161307731,0.7795908838692269,0.8285617040107716,0.012049330874259334,0.8268773486144863,0.8302460594070569
Llama3-8B-Arabic,arabic,500,0.8,0.7624200000000001,0.015924308462222165,0.760193968100772,0.7646460318992282,0.9120415979281111,0.011372524935518845,0.9104518520787834,0.9136313437774388,0.7781625,0.016593442793766466,0.7758429309546898,0.7804820690453101,0.8396932294706023,0.011551703385845703,0.8380784365715376,0.8413080223696671
Llama3-8B-Arabic,arabic,500,0.8500000000000001,0.7646199999999999,0.015577406716138616,0.762442460903741,0.7667975390962587,0.9351395327581261,0.010967063945877886,0.9336064656084716,0.9366725999077806,0.7770823529411764,0.01612278149219243,0.7748285768358563,0.7793361290464966,0.8487019820734386,0.010865789925015407,0.8471830718462989,0.8502208923005783
Llama3-8B-Arabic,arabic,500,0.9000000000000001,0.7700400000000001,0.014072611697904564,0.7680728136308524,0.7720071863691477,0.9597354004769119,0.00903302963467155,0.9584726886824779,0.9609981122713458,0.7771666666666667,0.014291389966007288,0.7751688976568467,0.7791644356764866,0.8587647890962082,0.009435700471657,0.8574457886327784,0.860083789559638
Llama3-8B-Arabic,arabic,500,0.9500000000000001,0.7726099999999999,0.014850181817068785,0.7705341184311045,0.7746858815688953,0.9801081732728347,0.006166106454869861,0.9792462237762435,0.980970122769426,0.776421052631579,0.014578092317696054,0.7743832059893798,0.7784588992737782,0.8663765850424595,0.009646802048190269,0.8650280750499688,0.8677250950349502
Llama3-8B-Arabic,arabic,700,0.05,0.7049857142857142,0.01121131898883391,0.7034185031405161,0.7065529254309123,0.12109215676693787,0.010214163692413349,0.11966433625861315,0.12251997727526258,0.7828571428571429,0.06998542122237651,0.7730740002804017,0.7926402854338841,0.20971112389812496,0.01765945879510849,0.2072425382955367,0.21217970950071322
Llama3-8B-Arabic,arabic,700,0.1,0.7098142857142856,0.011591965901838556,0.708193864586833,0.7114347068417383,0.2254378480726573,0.012944016673781849,0.22362842607556807,0.22724727006974652,0.7805000000000001,0.049573229691445536,0.773570242836434,0.7874297571635661,0.3497599270140388,0.01996267042559706,0.3469693793889047,0.3525504746391729
Llama3-8B-Arabic,arabic,700,0.15000000000000002,0.7136928571428572,0.012139728588567444,0.7119958652043858,0.7153898490813286,0.31605397635973637,0.013557061039663665,0.31415885793712683,0.3179490947823459,0.7798095238095237,0.03663338006719272,0.7746886061383058,0.7849304414807416,0.44969354739555795,0.018532018699912615,0.44710298813322247,0.4522841066578934
Llama3-8B-Arabic,arabic,700,0.2,0.7161142857142856,0.012041730162485892,0.7144309928085257,0.7177975786200455,0.39350124416056176,0.013748161620720019,0.39157941211391,0.3954230762072135,0.7735,0.03143336002480454,0.7691059842547554,0.7778940157452445,0.5214939976768048,0.017317977538647323,0.5190731471561936,0.5239148481974161
Llama3-8B-Arabic,arabic,700,0.25,0.7213928571428571,0.01357025370854524,0.7194958945395827,0.7232898197461314,0.46595756675705785,0.015944078269523234,0.4637287712702116,0.4681863622439041,0.7797999999999999,0.030798237426376024,0.7754947669587187,0.7841052330412812,0.5832126557474124,0.01922708170279034,0.580524934814286,0.5859003766805388
Llama3-8B-Arabic,arabic,700,0.3,0.7247,0.012463489536585307,0.7229577500712226,0.7264422499287774,0.5280713647548346,0.01441779607719847,0.52605592565049,0.5300868038591793,0.7777380952380952,0.0257360467886657,0.774140497185564,0.7813356932906265,0.6289103790198896,0.016445174324988134,0.6266115361707552,0.631209221869024
Llama3-8B-Arabic,arabic,700,0.35000000000000003,0.7268785714285716,0.012621715576007591,0.7251142033518145,0.7286429395053287,0.5823046207018577,0.014186536767741014,0.5803215089416528,0.5842877324620627,0.7782653061224489,0.022482118397669153,0.7751225691656661,0.7814080430792317,0.6660476436987726,0.015065298732173795,0.663941691303491,0.6681535960940541
Llama3-8B-Arabic,arabic,700,0.4,0.73205,0.012451192468095215,0.7303094690574374,0.7337905309425625,0.6347440016576954,0.013766313802483313,0.6328196321485383,0.6366683711668525,0.778232142857143,0.020106849464999813,0.7754214406901856,0.7810428450241005,0.6990881602670723,0.013896525371567112,0.6971455887049272,0.7010307318292175
Llama3-8B-Arabic,arabic,700,0.45,0.7360714285714286,0.01640479646136384,0.7337782300749305,0.7383646270679267,0.6811424649502866,0.017186188428180343,0.6787400370044808,0.6835448928960924,0.777968253968254,0.021497572621619842,0.7749631449850146,0.7809733629514933,0.7262277292993715,0.01684791520922242,0.7238725879894559,0.7285828706092872
Llama3-8B-Arabic,arabic,700,0.5,0.7391714285714286,0.01332586865874807,0.7373086281371322,0.741034229005725,0.7228187282606504,0.014409097203345314,0.7208045051570339,0.724832951364267,0.7763142857142856,0.017300678292707344,0.7738958534257367,0.7787327180028345,0.7484965466421013,0.01276665887138726,0.7467119171894823,0.7502811760947203
Llama3-8B-Arabic,arabic,700,0.55,0.742042857142857,0.013963881981741325,0.7400908699151445,0.7439948443705695,0.7592434080090419,0.013956636529688605,0.7572924336107048,0.761194382407379,0.7778571428571428,0.017985840835735005,0.7753429328661867,0.7803713528480989,0.7683200185613966,0.01291018881422969,0.7665153253030546,0.7701247118197387
Llama3-8B-Arabic,arabic,700,0.6000000000000001,0.7473428571428571,0.013574465825548332,0.7454453057349364,0.7492404085507778,0.7964304952757143,0.0137358426171574,0.7945103852815436,0.798350605269885,0.7779642857142858,0.015448688934531577,0.7758047398570134,0.7801238315715582,0.7869854704188611,0.01155116692263155,0.7853707525110734,0.7886001883266489
Llama3-8B-Arabic,arabic,700,0.6500000000000001,0.75125,0.013229479681871896,0.7494006736162577,0.7530993263837422,0.8293088974062147,0.012147270443146316,0.8276108512047647,0.8310069436076647,0.7774615384615384,0.014998285133226659,0.7753649537828703,0.7795581231402066,0.8024598728004304,0.010928219592528564,0.8009322356366284,0.8039875099642324
